,,,,,,,,,,,,
Client ,"Saatvik Agro products Morena, MP",,,,,,,,,,,
Project Capacity AC-KW," 1,300.00 ",,,,,,,,,,,
Project Capacity DC KWp," 1,695.27 ",,,,,,,,,,,
SCOPE OF WORK,,,,,,,,,,,,
,,,815,499,444,,,, Scope of Work ,,,
S.No.,Item Description,SPECIFICATION,Qty,Qty,Qty,Total ,UOM,MAKE, Supply , Service ,Rate ,Amount 
PV Section,,,Process P,FMG-1,Storage,,,,,,,
1,Solar PV module (Wp),PV Module 405Wp,220,1232,874,2314,Nos.,Saatvik,Saatvik,Contractor,,
2,Solar PV module (Wp),PV Module 445Wp,1474,0,0,1704,Nos.,Saatvik,Saatvik,Contractor,,
3,Solar PV module (Wp),PV Module 585Wp,120,0,120,0,Nos.,Saatvik,Saatvik,Contractor,,
4,MC4 Connector,"MC4 Male & Female Field side connector (MC4 compatible, IP67)",363,246,199,609,Lot,Elmex,Contractor,Contractor,40,24368
5,String Inverter,LT String inverter 50KW,13,8,8,26,Nos.,Saatvik,Saatvik,Contractor,0,0
6,Remote Monitoring system - Web based,Web based Datalogger for minitoring ,1,1,1,3,Nos.,Suryalogix/Power AMR,Contractor,Contractor,50000,150000
7,Zero Export devise,,1,0,0,1,Nos.,Suryalogix/Power AMR,Contractor,Contractor,2500000,
8,Communication Cable,RS485 Armourd shielded cable for communication inverter to inverter,316,250,270,836,Mtrs,D-Link/Polycab/Beldan,Contractor,Contractor,,
9,"DWC Conduit, Size of 32mm OD",Schedule 40 UV Protected,316,250,270,836,Mtrs,Supreme/Titupati/Reputed,Contractor,Contractor,,
10,L-JOINT PVC 32mm,Schedule 40 UV Protected,120,120,120,360,Nos.,Supreme/Titupati/Reputed,Contractor,Contractor,,
11,T-JOINT PVC 32mm,Schedule 40 UV Protected,120,120,120,360,Nos.,Supreme/Titupati/Reputed,Contractor,Contractor,,
12,Weather Monitoring Station (Reference Cell Radiation Sensor),"1. Radiation sensor. (2 Nos)
2. Temperature Sensor - Ambient (1 Nos)
3. Temperature Sensor - Module (1 Nos)",1,0,0,1,Set,Webdyn/Trinity/Suryalogix,Contractor,Contractor,,
" Structures, Walkway Railing & life line ",,,,,,,,,,,,
13,MMS,Standing seam type  Al anodized H clamp with hardware & other accessories,815,499,444,1695,KWp,Reputed make,Contractor,Contractor,,
14,Walkway,FRP Walkway 300 width x 25mm ,940,795,480,1610,RM,Reputed make,Contractor,Contractor,,
15,Walway clamps,Mounting clamps & accessries,1880,1590,960,1,Lot,Reputed make,Contractor,Contractor,,
16,Safety life line ,Stainless steel type life line with Standing seam clamp type structre support  as per approved drawing,336,270,210,735,RM,Reputed make,Contractor,Contractor,,
17,Handrail,FRP 800 MM height with mounting arrangement,,,,250,RM,Reputed make,,,,
DC side - Cables & Accessories,,,,,,,,,,,,
18,DC Cable (1Cx4mm² (+VE & -ve)),"1 Core 4 Sqmm Cu 1.5kV , UV protected XLPO Solar Grade Cable - EN 50618
IS-1554 Part-1,Temp range:- 10Deg C to +120Deg C,Voltage range-1.5KV,excellent resistance to heat,cold,water,oil,abrasion,UV radiation, flexible. Life of cable-more then 25 year. Cable should be annealed Hight conduction copper conductor with XLPO insulation,UV protected.XLPO having working voltage- 1500V,UV resistant for outdoor installation IS/IEC 69947,For AC/DC cables Voltage drop= 1% limited",4484,2745,2445,9674,Lot,KEI/HAVELLS/APAR/UNIVERSAL/Sichem,Contractor,Contractor,,
19,"DWC Conduit, Size of 40mm OD",Schedule 40 UV Protected,1200,1200,1200,3600,Lot,SUPREME/TIRUPATI/REPUTED,Contractor,Contractor,21,75600
20,L-JOINT PVC 40mm,Schedule 40 UV Protected,80,80,80,240,Lot,SUPREME/TIRUPATI/REPUTED,Contractor,Contractor,,
21,T-JOINT PVC 40mm,Schedule 40 UV Protected,130,130,130,390,Lot,SUPREME/TIRUPATI/REPUTED,Contractor,Contractor,,
22,MISC Items,"GI Saddle, Silicon & Accessories",1,1,1,3,Lot,,Contractor,Contractor,,
AC side - Cables & Accessories ,,,,,,,,,,,,
23,"AC Cable 
(For Inverter  to LT PANEL)","3.5C X 50 sq.mm AL. A. XLPE Cable 1.1kV (For Inverter  to LT PANEL)
Cable shall be stranded AL. AR. conductor  with XLPE insulation, UV protected , 1.1KV, temp range -10ºC to +80ºC   overall XLPE insulation for outdoors, FRLS TYPE",2080,1520,1280," 4,880.00 ",Lot,POLYCAB/KEI/HAVELLS/APAR/UNIVERSAL/Gems,Contractor,Contractor,,
24,"AC Cable 
( LT PANEL to Existing panel )","3.5C X 300 sq.mm AL. A. XLPE Cable 1.1kV (For Inverter  to LT PANEL)
Cable shall be stranded AL. AR. conductor  with XLPE insulation, UV protected , 1.1KV, temp range -10ºC to +80ºC   overall XLPE insulation for outdoors, FRLS TYPE",100,50,50, 200.00 ,Lot,POLYCAB/KEI/HAVELLS/APAR/UNIVERSAL/Gems,Contractor,Contractor,,
25,Double compression Cable Gland & Accessries,"For All types of cable required,",0,0,0, -   ,Lot,Reputed make,Contractor,Contractor,,
26,"LUGs (Cu, Al, Bi-metalic)",As per requirement,39,21,21, 81.00 ,Lot,Reputed make,Contractor,Contractor,,
27,Heat shrinkable sleeve,for all cables ,1,1,1, 3.00 ,Lot,,Contractor,Contractor,,
28,LT PANEL (8in-1out),"As per specfification
415V LT Panel : 9 in1-out LT Panel indoor compartment type 
- 100A 4P MCCB  nos input  and 800A MCCB output 
- MFM meter with RS485 commiunication 
",2,1,1, 4.00 ,Nos.,"CUSTOM MADE
SWITCHGEAR MAKE - ABB/SIEMENS/L&T/SCHNEIDER",Contractor,Contractor,,
29,LT PANEL (6 in-1out),"As per specfification
415V LT Panel : 6 in1-out LT Panel indoor compartment type 
- 100A 4P MCCB  nos input  and 800A MCCB output 
- MFM meter with RS485 commiunication 
",,,,,Nos,"CUSTOM MADE
SWITCHGEAR MAKE - ABB/SIEMENS/L&T/SCHNEIDER",,,,
30,Extension Panel,"Extention Panel with 800A MCCB
",2,0,0, 2.00 ,Nos.,"CUSTOM MADE
SWITCHGEAR MAKE - ABB/SIEMENS/L&T/SCHNEIDER",Contractor,Contractor,,
31,"1C 16 sq.mm cu flexible 
 (Cable for earthing - Inverter Earthing)",Inverter Earthing & LT Panel,100,100,100, 300.00 ,Lot,Reputed,Contractor,Contractor,,
32,1C x 2.5 Sqmm Cu Cable,Module To module Earthing,599,407,328," 1,333.20 ",Lot,Reputed,Contractor,Contractor,,
33,1C X 70 Sqmm Cu Cable,LA Earthing,75,50,50, 175.00 ,Lot,Reputed,Contractor,Contractor,,
Earthing- Cables Lugs - Lumpsum Items,,,,,, -   ,,,,,,
34,Earthing Hardware,SS Hardware M4 x 15mm for module earthing ,#REF!,#REF!,#REF!, 1.00 ,Lot,Reputed,Contractor,Contractor,,
35,Earthing Hardware,M6 x 30 with nut + double washer,600,600,600, 1.00 ,Lot,Reputed,Contractor,Contractor,,
36,Earthing Hardware,M8 x 30 with nut + double washer,100,100,100, 1.00 ,Lot,Reputed,Contractor,Contractor,,
MISCELLANEOUS,,,,,, -   ,,,,,,
37,Cable Ties & MC4 Clips,UV Protected Sizes-As per requirement,1,1,1, 1.00 ,Lot,Reputed,Contractor,Contractor,,
38,Cable Tray- DC Side,Pre GI Perforated with cover & Fixing accessories. Support angles & stands,1,1,1, 1.00 ,Lot,Reputed,Contractor,Contractor,,
39,Cable Tray-AC Side,"Pre GILadder type, & Fixing accessories. Support angles & stands",1,1,1, 1.00 ,Lot,Reputed,Contractor,Contractor,,
40,Danger Boards & Safety Tags,"Building evacuation plan and direction signs, assembly points Signages ",1,1,1, 1.00 ,Lot,Reputed,Contractor,Contractor,,
41,Fire Fighting System ,DCP ABC/POWDER Type - 6 Kg - IS 2171 & IS 10658 Marked ,1,1,1, 6.00 ,Nos,Reputed,Contractor,Contractor,,
42,Fire Fighting System ,CO2 Type - 6 Kg - IS 2171 & IS 10658 Marked,1,1,1, 3.00 ,Nos,Reputed,Contractor,Contractor,,
43,Fire Fighting System ,SAND BUCKET STAND WITH 3 BUCKET ARRANEGEMNT & COMPLETE ACCESSORIES - 24 SWG - IS 2546,1,1,1, 3.00 ,Nos,Reputed,Contractor,Contractor,,
